GameID,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Global_Sales
T1,Hidden Objects: Mystery Stories,DS,2009,Adventure,GSP,,,,,,,0.66
T2,Man vs. Wild,Wii,2011,Action,Crave Entertainment,,,tbd,,Scientifically Proven,T,0.08
T3,Sprint Cars: Road to Knoxville,PS2,2005,Racing,THQ,,,tbd,,Big Ant Studios,E,0.07
T4,Last Escort: Club Katze,PSP,2010,Adventure,D3Publisher,,,,,,,0.03
T5,Ship Simulator Extremes,PC,2010,Simulation,Paradox Interactive,49,5,6.2,27,VSTEP,E,0.05
T6,Away: Shuffle Dungeon,DS,2008,Role-Playing,Majesco Entertainment,65,17,tbd,,"Mistwalker, Artoon",E10+,0.03
T7,G-Force,PS2,2009,Action,Disney Interactive Studios,,,tbd,,Eurocom Entertainment Software,E10+,0.27
T8,Major Minor's Majestic March,Wii,2009,Misc,Majesco Entertainment,46,16,tbd,,NanaOn-Sha,E,0.05
T9,The Chase: Felix Meets Felicity,DS,2009,Action,Atari,59,9,tbd,,Razorback Developments,E,0.04
T10,Jampack Winter 2003 (RP-T),PS2,2003,Misc,Sony Computer Entertainment,,,,,,,0.39
T11,Just Sing!,DS,2009,Misc,DTP Entertainment,,,,,,,0.15
T12,Story Hour: Adventures,Wii,2008,Adventure,Zoo Digital Publishing,,,tbd,,Other Ocean Interactive,E,0.03
T13,Skylanders: Trap Team,Wii,2014,Action,Activision,,,tbd,,Toys for Bob,E10+,0.95
T14,Doko Demo Issho,PSP,2004,Misc,Sony Computer Entertainment,,,,,,,0.1
T15,Adventures of Tron,2600,1981,Action,Mattel Interactive,,,,,,,0.67
T16,Satisfashion,DS,2010,Misc,Destineer,,,,,,,0.06
T17,Grand Slam,PS,1997,Misc,Virgin Interactive,,,,,,,0.04
T18,Billy the Wizard: Rocket Broomstick Racing,Wii,2007,Racing,Metro 3D,,,0.3,4,Data Design Interactive,E,0.05
T19,Worms Forts: Under Siege,XB,2004,Strategy,Sega,67,15,8,6,Team 17,T,0.07
T20,Kung-Fu Master,2600,1987,Action,Activision,,,,,,,0.65
T21,Wipeout: The Game,Wii,2009,Misc,Mindscape,,,,,,,2.06
T22,Squinkies 2: Adventure Mall Surprize!,DS,2011,Platform,Activision,,,,,,,0.09
T23,2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,78,9,7.7,6,EA Sports,E,0.05
T24,Kuusen II,PS2,2004,Simulation,Kadokawa Shoten,,,,,,,0.02
T25,NHL 2005,GC,2004,Sports,Electronic Arts,75,18,5.6,5,EA Sports,E,0.07
T26,LMA Manager 2007,X360,2006,Sports,Codemasters,,,,,,,0.01
T27,ECW Hardcore Revolution,N64,2000,Fighting,Acclaim Entertainment,,,,,,,0.22
T28,Infinite Stratos 2: Love and Purge,PSV,2015,Action,5pb,,,,,,,0.01
T29,Star Trek Online,PC,2010,Role-Playing,Atari,66,34,6.2,694,Cryptic Studios,T,0.02
T30,God of War Saga,PS3,2012,Action,Sony Computer Entertainment,,,8.3,52,"Ready at Dawn, SCE Santa Monica",M,0.82
T31,Dreamer Series: Pop Star,DS,2009,Misc,Tivola,,,tbd,,Dreamcatcher,E,0.07
T32,Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,,,,,,,0.63
T33,Roommate Asami: Okusama wa Joshikousei,PS2,2002,Adventure,Datam Polystar,,,,,,,0.02
T34,Evil Genius,PC,2004,Strategy,Vivendi Games,75,51,8.3,106,Elixir Studios,T,0.02
T35,Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita,PSP,2007,Role-Playing,Nippon Ichi Software,,,,,,,0.03
T36,Tomba! 2: The Evil Swine Return,PS,1999,Platform,Sony Computer Entertainment,,,,,,,0.29
T37,Akatsuki no Goei Trinity,PS3,2012,Adventure,5pb,,,,,,,0.01
T38,World of Zoo,Wii,2009,Simulation,THQ,,,8.2,6,Blue Fang Games,E,0.6
T39,Katekyoo Hitman Reborn! Kindan no Yami no Delta,Wii,2008,Action,Marvelous Interactive,,,,,,,0.01
T40,Pro Baseball Spirits 2015,PS3,2015,Action,Konami Digital Entertainment,,,,,,,0.15
T41,Petz: Hamsterz Bunch,PSP,2009,Simulation,Ubisoft,,,tbd,,Ubisoft,E,0.07
T42,B-Boy,PSP,2006,Misc,Sony Computer Entertainment,50,11,7.8,6,FreeStyleGames,T,0.05
T43,Scooby-Doo! Classic Creep Capers,N64,2000,Action,THQ,,,,,,,0.37
T44,Disney Princess: Enchanting Storybooks,DS,2011,Misc,THQ,,,tbd,,Page 44 Studios,E,0.12
T45,FIFA 15,PSV,2014,Sports,Electronic Arts,,,3.1,42,EA Sports,E,0.59
T46,Steins;Gate 0,PS4,2015,Adventure,PQube,81,17,8.3,29,5pb,M,0.05
T47,Shrek Super Party,GC,2003,Misc,TDK Mediactive,40,6,7.3,7,Mass Media,E,0.05
T48,Nobunaga no Yabou: Tenshoki,SAT,1995,Strategy,Tecmo Koei,,,,,,,0.11
T49,National Geographic Panda (JP sales),DS,2008,Simulation,Ubisoft,,,,,,,0.01
T50,Mario Golf,N64,1999,Action,Nintendo,,,,,,,1.47
T51,TOCA Race Driver 3,PC,2006,Racing,Codemasters,84,16,7.8,53,Codemasters,E10+,0.02
T52,A Game of Thrones: Genesis,PC,2011,Strategy,Focus Home Interactive,53,40,4,110,Cyanide,,0.03
T53,Power Pro Kun Pocket 8,DS,2005,Sports,Konami Digital Entertainment,,,,,,,0.14
T54,Cube,PSP,2007,Puzzle,D3Publisher,60,18,tbd,,Metia Interactive,E,0.02
T55,Pinkalicious,DS,2011,Misc,GameMill Entertainment,,,tbd,,"GameMill Publishing, 1st Playable Productions",E,0.27
T56,Shin Megami Tensei: Digital Devil Saga 2,PS2,2005,Role-Playing,Ghostlight,82,38,7.9,38,Atlus Co.,M,0.08
T57,DefCon 5,PS,1995,Shooter,Psygnosis,,,,,,,0.07
T58,Derby Stallion Advance,GBA,2002,Sports,Enterbrain,,,,,,,0.13
T59,Wantame Music Channel: Doko Demo Style,DS,2007,Misc,Capcom,,,,,,,0.13
T60,Black & White,PC,2001,Strategy,Electronic Arts,,,,,,,0.04
T61,Headhunter: Redemption,XB,2004,Action,Sega,59,26,6.8,4,Amuze,M,0.02
T62,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011,Strategy,System Soft,,,,,,,0.01
T63,Gundam Breaker 2,PSV,2014,Action,Namco Bandai Games,,,,,,,0.15
T64,.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,,,,,,,0.03
T65,Motto Hayaku! Seikaku Ni! Suu Sense Keisan Ryuoku Up Training - SuuTore,DS,2008,Misc,Benesse,,,,,,,0.02
T66,Bloody Roar 4,PS2,2003,Fighting,Konami Digital Entertainment,59,25,8.6,43,Eighting,M,0.09
T67,Tears to Tiara: Garland of the Earth,PS3,2008,Strategy,Aqua Plus,,,,,,,0.08
T68,Pro Yakyuu Famista DS 2009,DS,2009,Sports,Namco Bandai Games,,,,,,,0.1
T69,MotoGP 08,PS2,2008,Racing,Capcom,,,tbd,,Milestone S.r.l,E,0.22
T70,Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,2015,Action,Namco Bandai Games,,,,,,,0.02
T71,Sudoku Ball Detective,Wii,2009,Puzzle,Playlogic Game Factory,,,tbd,,Whitebear,E10+,0.04
T72,Pebble Beach Golf Links,SAT,1994,Sports,Sega,,,,,,,0.02
T73,Zoo Tycoon 2,PC,2004,Strategy,Microsoft Game Studios,72,34,8.1,43,Blue Fang Games,E,0.06
